Country,City,AQI,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM_2.5_Value,PM_2.5_Category
Afghanistan,Kuhestan,151,Unhealthy,1,Good,41,Good,0,Good,151,Unhealthy
Afghanistan,Qunduz,117,Unhealthy for Sensitive Groups,1,Good,44,Good,0,Good,117,Unhealthy for Sensitive Groups
Afghanistan,Rostaq,113,Unhealthy for Sensitive Groups,1,Good,42,Good,0,Good,113,Unhealthy for Sensitive Groups
Afghanistan,Tokzar,77,Moderate,1,Good,40,Good,0,Good,77,Moderate
Albania,Gramsh,68,Moderate,1,Good,39,Good,1,Good,68,Moderate
Albania,Elbasan,71,Moderate,1,Good,44,Good,1,Good,71,Moderate
Algeria,Adrar,106,Unhealthy for Sensitive Groups,0,Good,45,Good,0,Good,106,Unhealthy for Sensitive Groups
Angola,Lubango,40,Good,1,Good,14,Good,0,Good,40,Good
Angola,Luena,66,Moderate,1,Good,22,Good,0,Good,66,Moderate
Angola,Caluquembe,42,Good,2,Good,12,Good,0,Good,42,Good
Argentina,Chacabuco,17,Good,0,Good,17,Good,1,Good,17,Good
Argentina,Corrientes,13,Good,1,Good,12,Good,0,Good,13,Good
Argentina,Mercedes,14,Good,1,Good,14,Good,0,Good,3,Good
Argentina,Formosa,32,Good,0,Good,13,Good,0,Good,32,Good
Argentina,Necochea,23,Good,0,Good,23,Good,0,Good,17,Good
Argentina,Villeta,90,Moderate,2,Good,5,Good,3,Good,90,Moderate
Armenia,Ashtarak,39,Good,1,Good,29,Good,1,Good,39,Good
Armenia,Hrazdan,31,Good,0,Good,31,Good,0,Good,30,Good
Armenia,Dilijan,32,Good,1,Good,27,Good,0,Good,32,Good
Australia,Geraldton,29,Good,0,Good,29,Good,0,Good,13,Good
Australia,Ballarat,22,Good,0,Good,13,Good,6,Good,22,Good
Australia,Ballina,34,Good,0,Good,34,Good,1,Good,15,Good
Australia,Bundaberg,32,Good,0,Good,32,Good,0,Good,10,Good
Austria,Klosterneuburg,59,Moderate,1,Good,30,Good,3,Good,59,Moderate
Austria,Leoben,63,Moderate,1,Good,39,Good,0,Good,63,Moderate
Austria,Dornbirn,29,Good,1,Good,25,Good,3,Good,29,Good
Austria,Feldkirch,34,Good,1,Good,25,Good,2,Good,34,Good
Austria,Enns,62,Moderate,1,Good,39,Good,1,Good,62,Moderate
Azerbaijan,Artyom,48,Good,1,Good,35,Good,0,Good,48,Good
Azerbaijan,Culfa,52,Moderate,1,Good,35,Good,0,Good,52,Moderate
Azerbaijan,Mastaga,70,Moderate,1,Good,38,Good,0,Good,70,Moderate
Azerbaijan,Xudat,39,Good,1,Good,31,Good,0,Good,39,Good
Bangladesh,Bhairab Bazar,132,Unhealthy for Sensitive Groups,3,Good,44,Good,4,Good,132,Unhealthy for Sensitive Groups
Bangladesh,Rajshahi,191,Unhealthy,2,Good,133,Unhealthy for Sensitive Groups,2,Good,191,Unhealthy
Bangladesh,Morrelganj,142,Unhealthy for Sensitive Groups,3,Good,48,Good,2,Good,142,Unhealthy for Sensitive Groups
Bangladesh,Feni,157,Unhealthy,2,Good,36,Good,2,Good,157,Unhealthy
Bangladesh,Patiya,152,Unhealthy,2,Good,41,Good,1,Good,152,Unhealthy
Barbados,Bridgetown,73,Moderate,0,Good,24,Good,0,Good,73,Moderate
Belarus,Lyuban,52,Moderate,1,Good,28,Good,1,Good,52,Moderate
Belarus,Braslav,34,Good,1,Good,34,Good,0,Good,19,Good
Belarus,Pinsk,36,Good,1,Good,36,Good,0,Good,27,Good
Belarus,Zlobin,71,Moderate,1,Good,35,Good,0,Good,71,Moderate
